step,node,sig,state_0,state_1,state_2,state_3,state_d,tate_D
315,5372,0.573855712305577,358,117,79,290,538,3980
316,5393,0.5779588862868809,311,95,92,296,557,4021
317,5396,0.5785441902836977,357,112,67,299,543,4015
318,5395,0.5783491133882382,336,98,69,299,565,4029
319,5387,0.5767876226679163,347,92,70,278,549,4059
320,5390,0.5773733632268729,338,92,68,256,579,4054
321,5398,0.5789342704751045,376,82,69,263,513,4087
322,5376,0.5746380718044972,335,97,55,259,582,4070
323,5363,0.5720940567328962,355,65,73,244,533,4106
324,5333,0.5662088976503826,323,85,47,253,544,4111
325,5290,0.55774124330949,298,73,67,220,523,4152
326,5278,0.555371955062682,323,76,49,220,527,4095
327,5240,0.5478530855616275,331,78,52,205,511,4101
328,5226,0.5450772739484988,321,65,57,202,520,4075
329,5206,0.5411070065158786,339,72,48,214,480,4073
330,5195,0.5389211000054653,273,76,53,195,524,4085
331,5172,0.5343458257911686,313,69,57,212,423,4121
332,5162,0.532354726408728,276,66,46,226,481,4077
333,5128,0.5255776538100527,290,69,49,208,435,4111
334,5127,0.5253781731119926,265,69,48,202,475,4069
335,5109,0.5217861968529306,296,75,53,188,422,4093
336,5125,0.5249791874789399,276,73,53,212,444,4051
337,5118,0.5235824899290225,282,89,46,218,428,4062
338,5125,0.5249791874789399,257,73,61,220,442,4065
339,5115,0.5229837910524482,286,86,57,219,420,4057
340,5127,0.5253781731119926,271,67,68,213,452,4044
341,5114,0.5227842099971101,295,87,51,223,427,4044
342,5135,0.5269737865749144,260,57,70,212,451,4064
343,5090,0.5179922280289649,283,100,42,229,420,4061
344,5118,0.5235824899290225,262,68,82,203,473,4002
345,5123,0.5245801699523414,308,94,59,234,402,4021
346,5149,0.5297647652735744,261,85,70,245,468,3994
347,5150,0.5299640517645717,298,95,60,262,416,4018
348,5154,0.5307611015572565,280,68,71,254,462,4015
349,5150,0.5299640517645717,297,71,55,249,450,4032
350,5127,0.5253781731119926,302,62,48,235,474,4029
351,5132,0.5263754943347868,293,68,50,221,457,4038
352,5103,0.5205883521538773,309,72,47,220,439,4045
353,5119,0.5237820412465812,275,60,58,202,478,4030
354,5106,0.5211873049583106,321,91,45,201,437,4024
355,5112,0.5223850261224869,266,65,66,216,458,4035
356,5121,0.5241811210391754,323,83,52,209,444,4001
357,5133,0.5265749335825418,289,77,69,206,463,4017
358,5129,0.5257771263446831,302,81,57,226,440,4027
359,5148,0.5295654692916064,259,76,64,215,469,4046
360,5128,0.5255776538100527,304,83,50,247,401,4063
361,5110,0.5219858136524729,243,64,60,230,477,4054
362,5074,0.5147956791249714,293,80,48,227,426,4036
363,5069,0.513796496971383,266,56,66,206,472,4008
364,5032,0.5063996504975715,302,67,36,204,439,4021
365,5028,0.5055997658570818,273,45,54,189,452,4019
366,4968,0.4936003495024284,289,72,27,204,409,4027
367,4985,0.49700003599948167,264,32,58,182,449,3983
368,4930,0.4860036575196728,274,89,21,190,402,4009
369,4939,0.48780242055422784,254,37,67,159,442,3971
370,4914,0.48280678138742233,307,68,27,183,385,3969
371,4905,0.48100914005407436,249,41,52,170,442,3960
372,4869,0.4738239533296395,295,57,29,180,380,3964
373,4864,0.4728267998070029,228,56,43,156,444,3942
374,4848,0.4696374039786892,288,58,42,169,340,3967
375,4858,0.471630502376077,240,53,42,180,408,3925
376,4847,0.4694381463390895,289,47,38,184,353,3947
377,4840,0.46804361920235915,238,49,39,169,416,3936
378,4808,0.4616753197753451,274,44,38,166,356,3962
379,4808,0.4616753197753451,225,42,37,160,401,3943
380,4781,0.45631169406315036,260,62,31,149,351,3955
381,4779,0.45591477576184825,234,48,47,144,384,3924
382,4772,0.45452600588603903,267,42,34,151,348,3937
383,4756,0.4513543642147505,234,49,28,152,376,3933
384,4747,0.44957203423769154,239,43,43,137,341,3953
385,4728,0.4458136407186497,225,46,30,148,351,3947
386,4707,0.4416668407245722,227,38,32,149,334,3948
387,4698,0.4398920936368172,218,42,30,153,324,3940
388,4683,0.4369376156651794,223,48,34,144,325,3924
389,4685,0.43733129232018797,226,35,37,144,325,3916
390,4674,0.43516706065608735,225,51,26,143,326,3914
391,4671,0.43457724065869247,230,41,37,144,322,3900
392,4648,0.4300615584716705,201,46,34,137,330,3923
393,4642,0.42888543421095415,226,41,38,137,317,3889
394,4629,0.4263399355107633,210,51,31,158,319,3873
395,4655,0.4314347009222951,216,63,42,160,315,3833
396,4671,0.43457724065869247,215,67,53,166,313,3841
397,4674,0.43516706065608735,205,73,52,186,318,3837
398,4707,0.4416668407245722,219,58,61,194,326,3816
399,4724,0.4450231741740973,240,75,42,214,334,3802
400,4779,0.45591477576184825,234,64,57,208,360,3801
401,4798,0.45968769002713644,238,89,51,203,350,3848
402,4850,0.4700359482354282,236,71,70,209,361,3851
403,4866,0.47322563564965786,249,94,51,227,371,3858
404,4891,0.47821380314706946,242,58,74,220,384,3888
405,4897,0.47941164784612267,246,83,46,249,362,3905
406,4927,0.4854041480999381,234,70,64,220,407,3902
407,4941,0.4882021902213883,273,99,50,231,372,3902
408,5012,0.5023999815681698,247,77,81,218,418,3900
409,5019,0.5037999268390236,290,107,55,240,387,3933
410,5066,0.5131969342306847,257,56,92,238,431,3945
411,5038,0.5075994147527528,305,95,46,261,406,3953
412,5058,0.5115979192533087,251,57,73,246,462,3949
413,5031,0.5061996822488762,296,94,42,256,407,3963
414,5065,0.5129970714585417,277,55,68,234,463,3934
415,5057,0.5113980250186688,298,87,44,246,410,3980
416,5084,0.5167936806776895,269,69,73,231,448,3967
417,5093,0.5185914249385739,308,88,58,230,426,3974
418,5110,0.5219858136524729,289,70,74,224,464,3972
419,5122,0.5243806493873868,305,94,52,254,437,3968
420,5165,0.532952167341895,283,97,73,259,452,3958
421,5187,0.5373304042535787,290,99,74,275,435,3992
422,5249,0.5496359761703216,304,98,84,291,451,3959
423,5281,0.5559645175028561,295,120,72,320,457,3985
424,5327,0.565029566487074,289,105,93,324,467,4003
425,5362,0.5718982034898707,331,100,83,342,458,4013
426,5413,0.5818566998194316,294,91,82,336,509,4050
427,5441,0.5872964065443569,364,106,65,336,476,4066
428,5472,0.5932941219529654,326,89,74,329,537,4086
429,5474,0.5936801381806376,355,88,60,328,502,4139
430,5494,0.5975338641941668,330,79,67,296,553,4149
431,5472,0.5932941219529654,351,102,52,278,532,4179
432,5485,0.5958011474434483,349,74,70,267,539,4173
433,5475,0.5938731029341427,343,94,55,267,524,4202
434,5482,0.5952230416649099,338,75,70,242,536,4214
435,5458,0.5905888059473039,342,101,48,238,533,4220
436,5465,0.5919421603995892,325,79,72,240,518,4224
437,5482,0.5952230416649099,337,78,64,244,494,4248
438,5444,0.5878779948256042,308,86,59,245,497,4287
439,5470,0.5929079904663689,330,69,75,234,496,4240
440,5448,0.588653064072993,334,97,52,243,495,4249
441,5480,0.5948374908901151,322,75,72,239,514,4226
442,5469,0.5927148816393396,341,91,51,248,475,4274
443,5466,0.5921353834883183,311,72,59,245,520,4262
444,5457,0.5903953570035845,332,71,60,245,469,4289
445,5455,0.5900083752288799,308,73,54,232,521,4269
446,5414,0.5820513266483992,332,78,49,237,469,4290
447,5426,0.584384839402038,305,58,56,230,517,4248
448,5418,0.5828295778986842,347,80,44,231,452,4272
449,5445,0.5880718031564981,306,65,59,219,494,4275
450,5438,0.5867145745134362,350,82,46,228,449,4290
451,5442,0.587490296463225,277,69,64,215,497,4316
452,5450,0.5890404340586652,345,88,50,221,453,4285
453,5475,0.5938731029341427,283,97,67,211,504,4288
454,5495,0.5977262388897371,330,94,69,234,427,4321
455,5523,0.6031003205963978,301,85,68,247,494,4300
456,5543,0.6069238568851834,304,94,66,262,453,4344
457,5561,0.6103538853466696,301,89,63,260,485,4345
458,5576,0.6132039412090935,307,91,68,252,472,4371
459,5583,0.614531331510716,307,86,70,254,479,4380
460,5594,0.6166137858688822,315,81,71,255,469,4392
461,5598,0.6173699869563063,304,89,59,253,502,4387
462,5611,0.6198237022938891,319,83,71,236,475,4414
463,5598,0.6173699869563063,296,97,60,238,501,4419
464,5611,0.6198237022938891,339,67,72,242,466,4412
465,5589,0.615667740942972,320,77,49,252,503,4410
466,5563,0.6107343333232297,317,51,60,220,502,4439
467,5550,0.6082590307465146,336,60,43,216,488,4420
468,5504,0.5994562511215262,294,69,40,198,490,4459
469,5504,0.5994562511215262,323,61,46,198,462,4414
470,5486,0.5959937903809612,301,70,41,196,463,4433
471,5464,0.5917489088842137,283,66,45,187,464,4441
472,5453,0.5896212819770226,288,60,47,186,440,4443
473,5438,0.5867145745134362,289,74,41,191,446,4412
474,5425,0.5841905229354073,263,72,55,190,441,4417
475,5407,0.5806884055181848,269,70,56,196,424,4410
476,5396,0.5785441902836977,280,62,52,208,426,4379
477,5392,0.5777637361967027,307,49,45,220,419,4356
478,5364,0.5722898873854578,274,57,36,199,458,4368
479,5324,0.5644396239241867,282,47,41,190,417,4387
480,5301,0.5599107872632886,290,42,35,177,432,4348
481,5264,0.552604607574254,274,47,28,180,410,4362
482,5233,0.5464655408969659,253,48,37,155,414,4357
483,5211,0.5421000827582724,270,47,34,155,382,4345
